Source,Target,Type,Id,Label,Weight,Died on expedition
1893,392,Undirected,2506,Staff,1.0,V
1894,392,Undirected,2507,Staff,1.0,V
1895,392,Undirected,2508,Staff,1.0,V
1896,392,Undirected,2509,Staff,1.0,V
2703,2699,Undirected,4654,,1.0,N
2704,2699,Undirected,4655,Naturalist and doctor,1.0,N
2705,2699,Undirected,4656,Lieutenant and astronomer,1.0,N
2706,2700,Undirected,4657,Captain,1.0,N
2707,2700,Undirected,4658,Captain's coxswain,1.0,N
2710,2699,Undirected,4663,Master,1.0,N
2711,2699,Undirected,4666,Lieutenant,1.0,N
2712,2699,Undirected,4667,Lieutenant,1.0,N
2727,2699,Undirected,4696,Lieutenant,1.0,N
2699,2701,Undirected,4649,Transportation,1.0,V
2701,1,Undirected,4648,Expedition,1.0,V
2702,2699,Undirected,4651,Captain,1.0,N
2702,2701,Undirected,4653,Expedition leader,1.0,V
2702,2700,Undirected,4652,In command,1.0,V
2700,2701,Undirected,4650,Transportation,1.0,V
3936,2699,Undirected,9880,Midshipman,1.0,N
450,93,Undirected,613,,1.0,
451,93,Undirected,614,,1.0,
452,93,Undirected,615,,1.0,
453,93,Undirected,616,,1.0,
454,93,Undirected,617,,1.0,
455,93,Undirected,618,,1.0,
456,93,Undirected,619,,1.0,
457,93,Undirected,620,,1.0,
458,93,Undirected,621,,1.0,
459,93,Undirected,622,,1.0,
460,93,Undirected,623,,1.0,
461,93,Undirected,624,,1.0,
462,93,Undirected,625,,1.0,
463,93,Undirected,626,,1.0,
464,93,Undirected,627,,1.0,
465,93,Undirected,628,,1.0,
466,93,Undirected,629,,1.0,
467,93,Undirected,630,,1.0,
468,93,Undirected,631,,1.0,
469,93,Undirected,632,,1.0,
470,93,Undirected,633,,1.0,
471,93,Undirected,634,,1.0,
94,7,Undirected,127,Expedition leader,1.0,V
94,93,Undirected,611,Commander,1.0,
7,1,Undirected,60,Expedition,1.0,V
7,189,Undirected,314,Expedition,1.0,V
449,93,Undirected,612,,1.0,
93,7,Undirected,126,Transportation,1.0,V
915,66,Undirected,2350,Lieutenant,1.0,
916,66,Undirected,2351,Assistant-surgeon,1.0,
917,66,Undirected,2352,Eleve,1.0,
917,67,Undirected,2363,Eleve,1.0,
918,66,Undirected,2353,Secretary to commandant,1.0,
919,66,Undirected,2354,Purser,1.0,
920,66,Undirected,2355,Naturalist and phrenologist,1.0,
921,66,Undirected,2356,Enseigne,1.0,
922,66,Undirected,2357,Eleve,1.0,
923,66,Undirected,2358,Enseigne,1.0,
924,66,Undirected,2359,Surgeon,1.0,
925,66,Undirected,2360,Eleve,1.0,
926,66,Undirected,2361,Eleve,1.0,
927,66,Undirected,2362,Enseigne,1.0,
928,67,Undirected,2364,Enseigne,1.0,
929,67,Undirected,2365,First lieutenant,1.0,
930,67,Undirected,2366,Eleve,1.0,
931,67,Undirected,2367,Eleve,1.0,
932,67,Undirected,2368,Purser,1.0,
933,67,Undirected,2369,Assistant-surgeon,1.0,
934,67,Undirected,2370,Artist (draftsman),1.0,
935,67,Undirected,2371,Enseigne,1.0,
936,67,Undirected,2372,Enseigne,1.0,
937,67,Undirected,2373,Lieutenant,1.0,
65,31,Undirected,94,Expedition leader,1.0,V
65,66,Undirected,635,Captain,1.0,N
31,2,Undirected,29,Expedition,1.0,V
472,66,Undirected,636,Hydrographer,1.0,
66,31,Undirected,95,Transportation,1.0,V
473,67,Undirected,638,Commander,1.0,
67,31,Undirected,96,Transportation,1.0,V
817,810,Undirected,2191,Crew member,1.0,
818,810,Undirected,2192,Cook,1.0,N
819,810,Undirected,2193,Zoologist,1.0,
820,810,Undirected,2194,First mate,1.0,
821,810,Undirected,2195,Smith,1.0,
822,810,Undirected,2196,Meteorologist and hydrographer,1.0,
823,810,Undirected,2197,Lieutenant and cartographer,1.0,N
824,810,Undirected,2198,Crew member,1.0,N
825,810,Undirected,2199,Medical officer and bacteriologist,1.0,
826,810,Undirected,2200,Crew member,1.0,
827,810,Undirected,2201,Second mate,1.0,
828,810,Undirected,2202,Fireman,1.0,
829,810,Undirected,2203,Fireman,1.0,
830,810,Undirected,2204,Sledger,1.0,
831,810,Undirected,2205,First engineer,1.0,
832,810,Undirected,2206,Second engineer,1.0,
833,810,Undirected,2207,Commander,1.0,N
833,55,Undirected,2247,Expedition leader,1.0,V
834,810,Undirected,2208,Zoologist,1.0,
835,810,Undirected,2209,Crew member,1.0,
836,810,Undirected,2210,Third mate,1.0,
837,810,Undirected,2211,Steward,1.0,
838,810,Undirected,2212,Botanist,1.0,
839,810,Undirected,2213,Scientific assistant,1.0,N
840,810,Undirected,2214,Artist,1.0,
840,2430,Undirected,4153,Artist,1.0,N
841,810,Undirected,2215,Crew member,1.0,
842,810,Undirected,2216,Boatswain,1.0,
843,810,Undirected,2217,Crew member,1.0,
845,810,Undirected,2246,Crew member,1.0,
810,55,Undirected,2248,Transportation,1.0,V
810,774,Undirected,2178,Same ship,1.0,V
55,2,Undirected,53,Expedition,1.0,V
748,745,Undirected,2100,"Captain, Mercantile Marine and sailing master",1.0,N
749,745,Undirected,2101,Surgeon and naturalist,1.0,N
750,745,Undirected,2102,Engineer,1.0,Y
752,745,Undirected,2104,Steward,1.0,Y
