Id,Label
1,The Arctic
2,Antarctica
3,French Arctic Expedition (1925)
4,Charles Francis Hall's First Arctic Expedition (1860)
5,Charles Francis Hall's Second Arctic Expedition (1864)
6,Polaris Expedition (1871)
7,Jeannette Expedition (1879)
8,"Rae-Richardson Polar Expedition, Overland (1848)"
9,Northwest Passage Expedition (1903)
10,Spitsbergen Expedition (1818)
11,Crossing of Greenland (1888)
12,John Ross First Arctic Expedition (1818)
13,John Ross Second Arctic Expedition (1829)
14,John Ross Third Arctic Expedition (1850)
15,Hecla and Griper Expedition (1819)
16,Hecla and Fury Expedition (1821)
17,British Naval North Polar Expedition (1827)
18,Enterprise and Investigator Expedition (1848)
19,Overland (Mackenzie River Expedition)
20,Northwest Passage Expedition (1845)
21,Knight Expedition (1719)
22,Coppermine River Expedition (1819)
23,Gulf of Boothia Expedition (1846)
24,Jackson-Harmsworth Arctic Expedition (1894)
25,S. A. Andree Balloon Expedition (1897)
26,First Fram Expedition (1893)
27,Second Fram Expedition (1898)
28,Weddell's First Expedition (1819)
29,Weddell's Second Expedition (1821)
30,Weddell's Third Expedition (1822)
31,French Antarctic Expedition (1837)
32,French Antarctic Expedition (1904)
33,French Antarctic Expedition (1908)
34,Southern Ocean Expedition (1830)
35,Second German Antarctic Expedition (1911)
36,First German Antarctic Expedition (1901)
37,Japanese Antarctic Expedition (1910)
38,First Norwegian Antarctic Expedition (1892)
39,Dundee Whaling Expedition (1892)
40,Brussels Geographical Society Antarctic Expedition (1897)
41,Scottish National Antarctic Expedition (1902)
42,Norwegian Antarctic Expedition (1910)
43,Erebus and Terror Expedition (1839)
44,Expedition to Graham Land (1920)
45,Samuel Enderby & Sons Exploration Cruise (1838)
46,Russian Circumnavigation Expedition (1819)
47,Shackleton-Rowett Expedition (1921)
48,Imperial Trans-Antarctic Expedition (1914)
49,Australasian Antarctic Expedition (1911)
50,British Antarctic Expedition (1907)
51,British National Antarctic Expedition (1901)
52,British Antarctic Expedition (1910)
53,British Antarctic Expedition (1898)
54,Henryk Bull Whaling Expedition (1893)
55,Swedish Antarctic Expedition (1901)
56,U.S. Exploring Expedition (1838)
61,Northwest Passage
63,Jane (Weddell)
64,Beaufoy (Brisbane)
65,Jules Dumont d'Urville
66,Astrolabe (D'Urville)
67,Zelee (Jacquinot)
68,Jean-Baptist Charcot
69,Francais (Charcot)
70,Porquois-Pas? IV (Charcot 1908)
71,HMS Trent (Franklin)
72,David Buchan
73,Sir John Franklin
74,John Biscoe
75,Tula
76,Lively
77,Wilhelm Filchner
78,Deutschland
79,Gauss (Drygalski)
80,Erich von Drygalski
81,Kainan Maru (Shirase)
82,Nobu Shirase
83,Jason
84,Carl Anton Larsen
85,Balaena
86,Active
87,Diana
88,Polar Star
89,Alexander Fairweather
90,Charles Francis Hall
91,George Henry (whaler)
92,Monticello
93,USS Jeannette (De Long)
94,George Washington DeLong
95,Adrien de Gerlache
96,Belgica (Gerlache)
97,John Richardson
98,John Rae
99,Scotia (Bruce)
100,William Speirs Bruce
101,Gjoa
102,Roald Amundsen
103,HMS Dorothea (Buchan)
104,Overland (Crossing of Greenland)
105,Hvidbjornen
106,Fridtjof Nansen
107,Jason
108,Oluf Christian Dietrichson
109,Kristian Kristiansen
110,Otto Sverdrup
111,Fram (Amundsen)
112,William Edward Parry
113,Sir John Ross
114,HMS Alexander (Ross)
115,HMS Isabella (Ross)
116,HMS Victory (Ross)
117,Felix (Ross)
118,HMS Griper (Liddon 1819)
120,HMS Fury (Parry 1821)
121,Sir James Clark Ross
122,HMS Cove (Ross)
123,Rescue of Whaleships in Baffin Bay (1835)
124,Whaling
125,HMS Erebus (Ross)
126,HMS Terror (Ross)
127,HMS Investigator (Bird)
129,Search for Franklin's Lost Expedition
130,William J. S. Pullen
131,HMS Plover (Moore)
132,HMS Herald (Kellett 1848)
133,Behring's Strait Expedition (1848)
134,Enterprise and Investigator Expedition (1850)
135,Richard Collinson
136,Robert John le Mesurier McClure
137,HMS Resolute (Austin)
138,HMS Assistance (Ommanney)
140,Erasmus Ommanney
141,Resolute and Assistance Expedition (1850)
142,HMS Pioneer (steam tender)
143,Intrepid (steam tender)
144,Charles Forsyth
145,Prince Albert (Kennedy)
146,Prince Albert Expedition (1850)
147,William Penny
148,Lady Franklin
149,Sophia (Stewart)
150,Lady Franklin and Sophia Expedition (1850)
151,First Grinnell Expedition (1850)
152,Edwin de Haven
153,USS Rescue (Griffin)
154,USS Advance (de Haven)
155,Elisha Kent Kane
156,Prince Albert Expedition (1851)
157,William Kennedy
158,Frederick William Beechey
159,Bering Strait Expedition (1825)
160,HMS Blossom (Beechey)
161,Sir Edward Belcher
162,Edward Belcher Expedition (1852)
163,HMS Assistance (Belcher)
164,HMS Resolute (Kellett)
165,HMS Pioneer (Osborn)
166,HMS Intrepid (McClintock)
167,North Star (Pullen)
168,Henry Kellett
169,George Strong Nares
170,Sherard Osborn
171,Francis Leopold McClintock
172,Second Grinnell Expedition (1853)
173,USS Advance (Kane)
174,Hans Hendrik
175,USS Polaris
